Date,^GSPC,^IXIC,^DJI
2004-07-21,1093.8800048828125,1874.3699951171875,10046.1298828125
2004-07-22,1096.8399658203125,1889.06005859375,10050.330078125
2004-07-23,1086.199951171875,1849.0899658203125,9962.2197265625
2004-07-26,1084.0699462890625,1839.02001953125,9961.919921875
2004-07-27,1094.8299560546875,1869.0999755859375,10085.1396484375
2004-07-28,1095.4200439453125,1858.260009765625,10117.0703125
2004-07-29,1100.4300537109375,1881.06005859375,10129.240234375
2004-07-30,1101.719970703125,1887.3599853515625,10139.7099609375
2004-08-02,1106.6199951171875,1892.0899658203125,10179.16015625
2004-08-03,1099.68994140625,1859.4200439453125,10120.240234375
2004-08-04,1098.6300048828125,1855.06005859375,10126.509765625
2004-08-05,1080.699951171875,1821.6300048828125,9963.0302734375
2004-08-06,1063.969970703125,1776.8900146484375,9815.330078125
2004-08-09,1065.219970703125,1774.6400146484375,9814.66015625
2004-08-10,1079.0400390625,1808.699951171875,9944.669921875
2004-08-11,1075.7900390625,1782.4200439453125,9938.3203125
2004-08-12,1063.22998046875,1752.489990234375,9814.58984375
2004-08-13,1064.800048828125,1757.219970703125,9825.349609375
2004-08-16,1079.3399658203125,1782.8399658203125,9954.5498046875
2004-08-17,1081.7099609375,1795.25,9972.830078125
2004-08-18,1095.1700439453125,1831.3699951171875,10083.150390625
2004-08-19,1091.22998046875,1819.8900146484375,10040.8203125
2004-08-20,1098.3499755859375,1838.02001953125,10110.1396484375
2004-08-23,1095.6800537109375,1838.699951171875,10073.0498046875
2004-08-24,1096.18994140625,1836.8900146484375,10098.6298828125
2004-08-25,1104.9599609375,1860.719970703125,10181.740234375
2004-08-26,1105.0899658203125,1852.9200439453125,10173.41015625
2004-08-27,1107.77001953125,1862.0899658203125,10195.009765625
2004-08-30,1099.1500244140625,1836.489990234375,10122.51953125
2004-08-31,1104.239990234375,1838.0999755859375,10173.919921875
2004-09-01,1105.9100341796875,1850.4100341796875,10168.4599609375
2004-09-02,1118.31005859375,1873.4300537109375,10290.2802734375
2004-09-03,1113.6300048828125,1844.47998046875,10260.2001953125
2004-09-07,1121.300048828125,1858.56005859375,10342.7900390625
2004-09-08,1116.27001953125,1850.6400146484375,10313.3603515625
2004-09-09,1118.3800048828125,1869.6500244140625,10289.099609375
2004-09-10,1123.9200439453125,1894.31005859375,10313.0703125
2004-09-13,1125.8199462890625,1910.3800048828125,10314.759765625
2004-09-14,1128.3299560546875,1915.4000244140625,10318.16015625
2004-09-15,1120.3699951171875,1896.52001953125,10231.3603515625
2004-09-16,1123.5,1904.0799560546875,10244.490234375
2004-09-17,1128.550048828125,1910.0899658203125,10284.4599609375
2004-09-20,1122.199951171875,1908.0699462890625,10204.8896484375
2004-09-21,1129.300048828125,1921.1800537109375,10244.9296875
2004-09-22,1113.56005859375,1885.7099609375,10109.1796875
2004-09-23,1108.3599853515625,1886.4300537109375,10038.900390625
2004-09-24,1110.1099853515625,1879.47998046875,10047.240234375
2004-09-27,1103.52001953125,1859.8800048828125,9988.5400390625
2004-09-28,1110.06005859375,1869.8699951171875,10077.400390625
2004-09-29,1114.800048828125,1893.93994140625,10136.240234375
2004-09-30,1114.5799560546875,1896.8399658203125,10080.26953125
2004-10-01,1131.5,1942.199951171875,10192.650390625
2004-10-04,1135.1700439453125,1952.4000244140625,10216.5400390625
2004-10-05,1134.47998046875,1955.5,10177.6796875
2004-10-06,1142.050048828125,1971.030029296875,10239.919921875
2004-10-07,1130.6500244140625,1948.52001953125,10125.400390625
2004-10-08,1122.1400146484375,1919.969970703125,10055.2001953125
2004-10-11,1124.3900146484375,1928.760009765625,10081.9697265625
2004-10-12,1121.8399658203125,1925.1700439453125,10077.1796875
2004-10-13,1113.6500244140625,1920.530029296875,10002.330078125
2004-10-14,1103.2900390625,1903.02001953125,9894.4501953125
2004-10-15,1108.199951171875,1911.5,9933.3798828125
2004-10-18,1114.02001953125,1936.52001953125,9956.3203125
2004-10-19,1103.22998046875,1922.9000244140625,9897.6201171875
2004-10-20,1103.6600341796875,1932.969970703125,9886.9296875
2004-10-21,1106.489990234375,1953.6199951171875,9865.759765625
2004-10-22,1095.739990234375,1915.1400146484375,9757.8095703125
2004-10-25,1094.800048828125,1914.0400390625,9749.990234375
2004-10-26,1111.0899658203125,1928.7900390625,9888.48046875
2004-10-27,1125.4000244140625,1969.989990234375,10002.0302734375
2004-10-28,1127.43994140625,1975.739990234375,10004.5400390625
2004-10-29,1130.199951171875,1974.989990234375,10027.4697265625
2004-11-01,1130.510009765625,1979.8699951171875,10054.3896484375
2004-11-02,1130.56005859375,1984.7900390625,10035.73046875
2004-11-03,1143.199951171875,2004.3299560546875,10137.0498046875
2004-11-04,1161.6700439453125,2023.6300048828125,10314.759765625
2004-11-05,1166.1700439453125,2038.93994140625,10387.5400390625
2004-11-08,1164.8900146484375,2039.25,10391.3095703125
2004-11-09,1164.0799560546875,2043.3299560546875,10386.3701171875
2004-11-10,1162.9100341796875,2034.56005859375,10385.48046875
2004-11-11,1173.47998046875,2061.27001953125,10469.83984375
2004-11-12,1184.1700439453125,2085.340087890625,10539.009765625
2004-11-15,1183.81005859375,2094.090087890625,10550.240234375
2004-11-16,1175.4300537109375,2078.6201171875,10487.650390625
2004-11-17,1181.93994140625,2099.679931640625,10549.5703125
2004-11-18,1183.550048828125,2104.280029296875,10572.5498046875
2004-11-19,1170.3399658203125,2070.6298828125,10456.91015625
2004-11-22,1177.239990234375,2085.18994140625,10489.419921875
2004-11-23,1176.93994140625,2084.280029296875,10492.599609375
2004-11-24,1181.760009765625,2102.5400390625,10520.3095703125
2004-11-26,1182.6500244140625,2101.969970703125,10522.23046875
2004-11-29,1178.5699462890625,2106.8701171875,10475.900390625
2004-11-30,1173.8199462890625,2096.81005859375,10428.01953125
2004-12-01,1191.3699951171875,2138.22998046875,10590.2197265625
2004-12-02,1190.3299560546875,2143.570068359375,10585.1201171875
2004-12-03,1191.1700439453125,2147.9599609375,10592.2099609375
2004-12-06,1190.25,2151.25,10547.0595703125
